,drug_name
0,A + D Cracked Skin Relief
1,A-200 Lice Treatment
2,A-25
3,A-Caro-25
4,A-Cillin
5,A-Cof DH
6,A-D Anti-Diarrheal
7,A-Fil
8,A-G Profen
9,A-G Tussin
10,A-Hydrocort
11,A-Mantle
12,A-Methapred
13,A-Pak Laboratories Paediatric Analgesic Paracetamol
14,A-Phedrin
15,A-Spas S / L
16,A-Spaz
17,A-Tan 12X
18,A / B Otic
19,A / Fish Oil
20,A / T / S
21,A+D
22,A+D Zinc Oxide
23,Abacavir
24,Abacavir / dolutegravir / lamivudine
25,Abacavir / lamivudine
26,Abacavir / lamivudine / zidovudine
27,Abaloparatide
28,Abametapir topical
29,Abarelix
30,Abatacept
31,Abatron
32,Abatron AF
33,Abatuss DMX
34,Abbokinase
35,Abbokinase Open-Cath
36,ABC Complete Women's
37,ABC Plus Senior
38,ABC to Z
39,Abciximab
40,ABDEK
41,ABDEK Pediatric
42,Abecma
43,Abelcet
44,Abemaciclib
45,Abenol
46,Abidec
47,Abilify
48,Abilify Discmelt
49,Abilify Maintena
50,Abilify MyCite
51,Abiraterone
52,Ablavar
53,Abletex-PSE
54,AbobotulinumtoxinA
55,Abraxane
56,Abreva
57,Abrilada
58,Absorbase
59,Absorbine Antifungal Foot Powder
60,Absorbine Athlete's Foot
61,Absorbine Jock Itch
62,Absorbine Jr Antifungal
63,Absorbine Jr Pain Patch
64,Absorbine Jr.
65,Absorbine Jr. Back Patch
66,Absorbine Jr. Pain Relieving Cream
67,Absorbine Jr. Plus Pain Relief Patch
68,Absorbine Jr. Plus Pain Relieving Liquid
69,Absorica
70,Absorica LD
71,Abstral
72,Abtrim
73,Abtrim Pessaries
74,Acalabrutinib
75,ACAM2000
76,Acamprosate
77,Acanya
78,Acarbose
79,AccessPak for HIV PEP Basic
80,AccessPak for HIV PEP Expanded with Kaletra
81,AccessPak for HIV PEP Expanded with Viracept
82,Accidental First Aid Supplies Paracetamol
83,Accidental Rapatabs
84,Acclean
85,Acclean Plus
86,Accolate
87,Accretropin
88,Accrufer
89,Accu-Stream 360
90,AccuHist DM Pediatric Drops
91,AccuHist Drops
92,AccuHist Drops (old formulation)
93,AccuHist PDX Drops
94,AccuHist PDX Syrup
95,AccuHist Pediatric
96,AccuNeb
97,Accupril
98,Accuretic
99,Accutane
100,Accuzyme
101,Accuzyme SE
102,Acebutolol
103,Aceon
104,Acephen
105,Acerola C
106,Aceso Ag
107,Aceta
108,Aceta w / Codeine
109,Aceta-Gesic
110,Aceta-Gesic (old formulation)
111,Acetadote
112,Acetadryl
113,Acetaminophen
114,Acetaminophen PM Extra Strength
115,Acetaminophen-odan
116,Acetaminophen / aluminum hydroxide / aspirin / caffeine / magnesium hydroxide
117,Acetaminophen / aspirin
118,Acetaminophen / aspirin / caffeine
119,Acetaminophen / aspirin / caffeine / salicylamide
120,Acetaminophen / benzhydrocodone
121,Acetaminophen / brompheniramine / dextromethorphan / pseudoephedrine
122,Acetaminophen / butalbital
123,Acetaminophen / butalbital / caffeine
124,Acetaminophen / butalbital / caffeine / codeine
125,Acetaminophen / caffeine
126,Acetaminophen / caffeine / chlorpheniramine / hydrocodone / phenylephrine
127,Acetaminophen / caffeine / dihydrocodeine
128,Acetaminophen / caffeine / isometheptene mucate
129,Acetaminophen / caffeine / magnesium salicylate
130,Acetaminophen / caffeine / phenyltoloxamine
131,Acetaminophen / caffeine / pyrilamine
132,Acetaminophen / chlorpheniramine
133,Acetaminophen / chlorpheniramine / dextromethorphan
134,Acetaminophen / chlorpheniramine / dextromethorphan / guaifenesin
135,Acetaminophen / chlorpheniramine / dextromethorphan / guaifenesin / phenylephrine
136,Acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine
137,Acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine
138,Acetaminophen / chlorpheniramine / phenylephrine
139,Acetaminophen / codeine
140,Acetaminophen / dexbrompheniramine
141,Acetaminophen / dexbrompheniramine / phenylephrine
142,Acetaminophen / dextromethorphan
143,Acetaminophen / dextromethorphan / diphenhydramine
144,Acetaminophen / dextromethorphan / diphenhydramine / phenylephrine
145,Acetaminophen / dextromethorphan / doxylamine
146,Acetaminophen / dextromethorphan / doxylamine / phenylephrine
147,Acetaminophen / dextromethorphan / doxylamine / pseudoephedrine
148,Acetaminophen / dextromethorphan / guaifenesin / phenylephrine
149,Acetaminophen / dextromethorphan / guaifenesin / pseudoephedrine
150,Acetaminophen / dextromethorphan / phenylephrine
151,Acetaminophen / dextromethorphan / phenylephrine / triprolidine
152,Acetaminophen / dextromethorphan / pseudoephedrine
153,Acetaminophen / dextromethorphan / pseudoephedrine / pyrilamine
154,Acetaminophen / dextromethorphan / triprolidine
155,Acetaminophen / dichloralphenazone / isometheptene mucate
156,Acetaminophen / diphenhydramine
157,Acetaminophen / diphenhydramine / phenylephrine
158,Acetaminophen / diphenhydramine / pseudoephedrine
159,Acetaminophen / guaifenesin
160,Acetaminophen / guaifenesin / phenylephrine
161,Acetaminophen / guaifenesin / pseudoephedrine
162,Acetaminophen / hydrocodone
163,Acetaminophen / ibuprofen
164,Acetaminophen / magnesium salicylate / pamabrom
165,Acetaminophen / oxycodone
166,Acetaminophen / pamabrom
167,Acetaminophen / pamabrom / pyrilamine
168,Acetaminophen / pentazocine
169,Acetaminophen / pheniramine / phenylephrine
170,Acetaminophen / phenylephrine
171,Acetaminophen / phenyltoloxamine
172,Acetaminophen / phenyltoloxamine / salicylamide
173,Acetaminophen / propoxyphene
174,Acetaminophen / pseudoephedrine
175,Acetaminophen / tramadol
